ID,Doctor,Specialty,Location,Clinic,Contact,Online
1,Darian Wisozk,Neurologist,Manila,"60A/85 Fahey Camp Suite 250, Indanan 7092 Oriental Mindoro",jugalator@icloud.com,jugalator@icloud.com
2,Magdalena Hermiston,Neurologist,Quezon City,"09/14 Botsford Forks Apt. 407, Kalingalan Caluang 0593 Sorsogon",petersen@yahoo.com,petersen@yahoo.com
3,Dennis Bayer,Neurologist,Davao City,"91/48 Grady Flat Suite 149, Poblacion, Santiago 8275 Misamis Occidental",budinger@outlook.com,budinger@outlook.com
4,Jayde Jacobson,Neurologist,Manila,"63 Russel Extension, Lagonoy 8263 South Cotabato",dobey@optonline.net,
5,Miss Francis Wuckert,Neurologist,Quezon City,"96/18 Kihn Wells, Lubao 0818 Apayao",fviegas@hotmail.com,
6,Dangelo Guªann,Neurologist,San Juan City,"12 McDermott Fords Suite 972, Buhi 6405 Catanduanes",hahsler@outlook.com,
7,Ramon Stehr,"Ear, Nose, Throat",Makati City,"75A/17 Rau Meadow, Balangkayan 7628 Basilan",mbrown@sbcglobal.net,
8,Elmore Runte,"Ear, Nose, Throat",Muntinlupa City,"35A/02 Wilderman Center, Tangalan 9757 Cagayan",pmint@outlook.com,
9,Oceane McLaughlin,"Ear, Nose, Throat",Quezon City,"45 Dare Throughway, Payao 0022 Capiz",chrwin@yahoo.com,
10,Kendall Kub,"Ear, Nose, Throat",Quezon City,"16A Kovacek Freeway, Madalum 8746 Zambales",wkrebs@comcast.net,
11,Michel Tromp,"Ear, Nose, Throat",Manila,"87A/30 Kovacek Well Apt. 538, Poblacion, Naga 7520 Quirino",afifi@hotmail.com,
12,Willard Willms,"Ear, Nose, Throat",Laguna,"37/26 Nicolas Mews, Poblacion, Lamitan 0821 Bataan",seebs@live.com,
13,Charley Casper,"Ear, Nose, Throat",Laguna,"78/02 Howe Forges Apt. 714, Poblacion, Tarlac City 0579 Camarines Norte",adhere@att.net,
14,Aisha Weimann,"Ear, Nose, Throat",Cebu,"62 Gutkowski Walk Suite 539, San Agustin 8846 South Cotabato",malin@outlook.com,
15,Diamond Reilly,"Ear, Nose, Throat",Cebu,"87A/05 Koch Crescent, Poblacion, Carcar 4612 Camarines Sur",tattooman@hotmail.com,
16,Julius Morissette,"Ear, Nose, Throat",Cebu,"08/20 Braun Route, Anahawan 0990 Siquijor",gregh@sbcglobal.net,
17,Richie Schuster,"Ear, Nose, Throat",Davao City,"66A/94 Schamberger Cape Apt. 191, Poblacion, Isabela 9046 Leyte",yamla@verizon.net,
18,Ramon Dietrich,"Ear, Nose, Throat",Davao City,"60 Jast Wells, Poblacion, Danao 5228 Siquijor",mmccool@msn.com,
19,Brendon Schmeler,"Ear, Nose, Throat",Pangasinan,"73 Labadie Row Apt. 885, Poblacion, Gapan 3583 Rizal",dkasak@verizon.net,
20,America O'Connell,"Ear, Nose, Throat",Pampanga,"55A Davis Extension, Poblacion, Bogo 4034 Ifugao",yangyan@outlook.com,
21,Jan Jakubowski,"Ear, Nose, Throat",Pampanga,"34A/94 Metz Manor, Poblacion, San Jose 7818 Nueva Vizcaya",aschmitz@verizon.net,
22,Breana Kuhn,"Ear, Nose, Throat",Tarlac,"19/46 Champlin Drives, Pasacao 0620 Cavite",reziac@sbcglobal.net,
23,Porter Donnelly I,"Ear, Nose, Throat",La Union,"59 Kozey Turnpike Suite 353, Concepcion 9999 Surigao del Sur",lstaf@gmail.com,
24,Dudley Bergnaum,"Ear, Nose, Throat",La Union,"97/95 Rolfson Springs, Poblacion, Iriga 4168 Kalinga",hoyer@yahoo.ca,
25,Willie Koch,"Ear, Nose, Throat",Baguio City,"47/80 Fisher Lake, Poblacion, Batangas City 2133 Compostela Valley",tbmaddux@mac.com,
26,Jasper Farrell,"Ear, Nose, Throat",Muntinlupa City,"09/66 Buckridge Hills, Marabut 2768 Sorsogon",uncled@aol.com,
27,Camryn Marvin,"Ear, Nose, Throat",Taguig,"03 Quigley Corner, Oas 8180 Biliran",russotto@outlook.com,
28,Madonna Gibson,"Ear, Nose, Throat",Manila,"80A Conn Summit, Tubay 7326 Masbate Quezon",naupa@icloud.com,
29,Rossie O'Keefe,"Ear, Nose, Throat",Cebu,"44A/76 Hodkiewicz Course Apt. 107, Sagbayan 9760 Pangasinan",mrdvt@comcast.net,
30,Kenna Ziemann,"Ear, Nose, Throat",Cebu,"64 Jakubowski Valley Apt. 494, Poblacion, Lapu-Lapu 0384 Pampanga",wenzlaff@msn.com,
31,Narciso Bradtke Jr.,"Ear, Nose, Throat",Cebu,"97A Pacocha Cliffs, Aleosan 8405 Marinduque",ilikered@aol.com,
32,Miss Zelma Homenick,"Ear, Nose, Throat",Davao City,"44A/80 Jast Stravenue, Sadanga 7101 Northern Samar",kewley@gmail.com,
